Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2017-04-05T14:30:00Z,QQQ,125.07882167,199,Market,Filled,24890.68551233,"ORB Long qty=199" 
2017-04-05T19:25:00Z,QQQ,124.289443682,-199,Market,Filled,-24733.599292718,"ORB Long ORB Trail Stop" 
2017-04-18T14:00:00Z,QQQ,123.706807548,201,Market,Filled,24865.068317148,"ORB Long qty=201" 
2017-04-18T19:50:00Z,QQQ,123.500065694,-201,Market,Filled,-24823.513204494,"ORB EOD Flatten" 
2017-04-20T15:50:00Z,QQQ,124.383417252,200,Market,Filled,24876.6834504,"ORB Long qty=200" 
2017-04-20T19:50:00Z,QQQ,124.806298317,-200,Market,Filled,-24961.2596634,"ORB EOD Flatten" 
2017-04-25T14:10:00Z,QQQ,126.723359145,197,Market,Filled,24964.501751565,"ORB Long qty=197" 
2017-04-25T19:50:00Z,QQQ,127.071061354,-197,Market,Filled,-25032.999086738,"ORB EOD Flatten" 
2017-05-01T14:35:00Z,QQQ,128.490062261,194,Market,Filled,24927.072078634,"ORB Long qty=194" 
2017-05-01T19:50:00Z,QQQ,129.072698395,-194,Market,Filled,-25040.10348863,"ORB EOD Flatten" 
2017-05-02T16:40:00Z,QQQ,129.166671965,193,Market,Filled,24929.167689245,"ORB Long qty=193" 
2017-05-02T19:50:00Z,QQQ,128.978724825,-193,Market,Filled,-24892.893891225,"ORB EOD Flatten" 
2017-05-15T14:45:00Z,QQQ,130.632659657,191,Market,Filled,24950.837994487,"ORB Long qty=191" 
2017-05-15T19:50:00Z,QQQ,130.585672872,-191,Market,Filled,-24941.863518552,"ORB EOD Flatten" 
2017-05-25T14:10:00Z,QQQ,131.929494923,189,Market,Filled,24934.674540447,"ORB Long qty=189" 
2017-05-25T19:50:00Z,QQQ,132.634296698,-189,Market,Filled,-25067.882075922,"ORB EOD Flatten" 
2017-05-26T14:05:00Z,QQQ,132.681283483,188,Market,Filled,24944.081294804,"ORB Long qty=188" 
2017-05-26T19:50:00Z,QQQ,132.606104627,-188,Market,Filled,-24929.947669876,"ORB EOD Flatten" 
2017-06-02T14:15:00Z,QQQ,134.00631082,186,Market,Filled,24925.17381252,"ORB Long qty=186" 
2017-06-02T19:50:00Z,QQQ,134.66412581,-186,Market,Filled,-25047.52740066,"ORB EOD Flatten" 
2017-06-05T14:45:00Z,QQQ,135.021225376,185,Market,Filled,24978.92669456,"ORB Long qty=185" 
2017-06-05T19:50:00Z,QQQ,134.795688808,-185,Market,Filled,-24937.20242948,"ORB EOD Flatten" 
