Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2017-04-05T14:30:00Z,"QQQ",2017-04-05T19:25:00Z,Buy,125.07882167,124.289443682,199,-157.09,2,-160.83,69.19,230.02,0,"	1,2" 
2017-04-18T14:00:00Z,"QQQ",2017-04-18T19:50:00Z,Buy,123.706807548,123.500065694,201,-41.56,2.01,-126.55,0,126.55,0,"	3,4" 
2017-04-20T15:50:00Z,"QQQ",2017-04-20T19:50:00Z,Buy,124.383417252,124.806298317,200,84.58,2,-1.88,95.85,33.83,1,"	5,6" 
2017-04-25T14:10:00Z,"QQQ",2017-04-25T19:50:00Z,Buy,126.723359145,127.071061354,197,68.5,2,-18.51,92.56,27.77,1,"	7,8" 
2017-05-01T14:35:00Z,"QQQ",2017-05-01T19:50:00Z,Buy,128.490062261,129.072698395,194,113.03,2,-7.29,114.85,34.64,1,"	9,10" 
2017-05-02T16:40:00Z,"QQQ",2017-05-02T19:50:00Z,Buy,129.166671965,128.978724825,193,-36.27,2,-43.53,3.63,47.16,0,"	11,12" 
2017-05-15T14:45:00Z,"QQQ",2017-05-15T19:50:00Z,Buy,130.632659657,130.585672872,191,-8.97,2,-52.05,14.36,66.41,0,"	13,14" 
2017-05-25T14:10:00Z,"QQQ",2017-05-25T19:50:00Z,Buy,131.929494923,132.634296698,189,133.21,2,0,163.4,53.28,1,"	15,16" 
2017-05-26T14:05:00Z,"QQQ",2017-05-26T19:50:00Z,Buy,132.681283483,132.606104627,188,-14.13,2,-38.87,14.13,53,0,"	17,18" 
2017-06-02T14:15:00Z,"QQQ",2017-06-02T19:50:00Z,Buy,134.00631082,134.66412581,186,122.35,2,-20.97,153.82,33.21,1,"	19,20" 
2017-06-05T14:45:00Z,"QQQ",2017-06-05T19:50:00Z,Buy,135.021225376,134.795688808,185,-41.72,2,-66.06,0,66.06,0,"	21,22" 
2017-06-09T14:20:00Z,"QQQ",2017-06-09T15:25:00Z,Buy,135.218569873,134.541960169,185,-125.17,2,-125.17,0,125.17,0,"	23,24" 
2017-06-20T14:50:00Z,"QQQ",2017-06-20T15:30:00Z,Buy,132.355275402,131.799319169,189,-105.08,2,-105.08,0,105.08,0,"	25,26" 
2017-06-22T16:50:00Z,"QQQ",2017-06-22T19:50:00Z,Buy,132.882962674,132.637965012,188,-46.06,2,-47.83,35.43,83.26,0,"	27,28" 
2017-07-10T15:00:00Z,"QQQ",2017-07-10T19:50:00Z,Buy,130.367025145,130.79105956,191,80.99,2,-18,109.79,34.2,1,"	29,30" 
2017-07-11T13:55:00Z,"QQQ",2017-07-11T15:20:00Z,Buy,130.630868781,130.659137742,191,5.4,2,-10.8,89.99,84.59,1,"	31,32" 
2017-07-18T14:15:00Z,"QQQ",2017-07-18T19:50:00Z,Buy,134.079682023,134.729868126,186,120.93,2,-45.57,141.97,70.11,1,"	33,34" 
2017-07-19T15:55:00Z,"QQQ",2017-07-19T19:50:00Z,Buy,135.643897865,135.643897865,184,0,2,-5.2,38.14,43.35,0,"	35,36" 
2017-07-21T16:10:00Z,"QQQ",2017-07-21T19:50:00Z,Buy,135.625051891,135.672166826,184,8.67,2,-26.01,27.74,53.75,1,"	37,38" 
2017-07-25T14:00:00Z,"QQQ",2017-07-25T19:50:00Z,Buy,136.115047215,136.030240332,183,-15.52,2,-56.91,44.83,65.53,0,"	39,40" 
2017-08-07T14:10:00Z,"QQQ",2017-08-07T19:50:00Z,Buy,135.756973709,136.124470202,184,67.62,2,-20.81,79.76,26.01,1,"	41,42" 
2017-08-08T14:40:00Z,"QQQ",2017-08-08T19:25:00Z,Buy,136.171585137,136.265815007,183,17.24,2,-6.9,160.37,143.13,1,"	43,44" 
2017-08-16T14:50:00Z,"QQQ",2017-08-16T18:25:00Z,Buy,136.190431111,135.577936956,183,-112.09,2,-112.09,68.98,181.06,0,"	45,46" 
2017-08-23T15:25:00Z,"QQQ",2017-08-23T19:50:00Z,Buy,134.626215269,134.616792282,185,-1.74,2,-76.7,22.66,90.65,0,"	47,48" 
2017-08-30T14:00:00Z,"QQQ",2017-08-30T19:50:00Z,Buy,135.380054229,136.181008124,184,147.38,2,-24.27,208.06,71.09,1,"	49,50" 
2017-08-31T14:20:00Z,"QQQ",2017-08-31T19:50:00Z,Buy,137.189267733,137.660417083,182,85.75,2,-37.73,102.9,49.73,1,"	51,52" 
2017-09-13T14:00:00Z,"QQQ",2017-09-13T19:50:00Z,Buy,137.754646953,137.688686044,182,-12,2,-58.31,15.43,65.17,0,"	53,54" 
2017-09-14T15:05:00Z,"QQQ",2017-09-14T19:50:00Z,Buy,137.660417083,137.132729811,182,-96.04,2,-102.9,32.58,135.48,0,"	55,56" 
