open,high,low,close,volume,expected_minutes,observed_minutes,missing_minutes,is_complete,timestamp,session_date,market_open_et,market_close_et,timeframe
125.57,125.81,125.34,125.53,28087400.0,390,385,5,False,2017-01-26 09:30:00-05:00,2017-01-26,2017-01-26 09:30:00-05:00,2017-01-26 16:00:00-05:00,1d
125.8,125.91,125.39,125.78,27947790.0,390,368,22,False,2017-01-27 09:30:00-05:00,2017-01-27,2017-01-27 09:30:00-05:00,2017-01-27 16:00:00-05:00,1d
125.37,125.37,124.12,124.85,93921873.0,390,387,3,False,2017-01-30 09:30:00-05:00,2017-01-30,2017-01-30 09:30:00-05:00,2017-01-30 16:00:00-05:00,1d
124.37,124.58,123.85,124.58,98042735.0,390,390,0,True,2017-01-31 09:30:00-05:00,2017-01-31,2017-01-31 09:30:00-05:00,2017-01-31 16:00:00-05:00,1d
125.42,125.67,124.86,125.41,42280442.0,390,388,2,False,2017-02-01 09:30:00-05:00,2017-02-01,2017-02-01 09:30:00-05:00,2017-02-01 16:00:00-05:00,1d
125.19,125.69,124.85,125.3,53694511.0,390,385,5,False,2017-02-02 09:30:00-05:00,2017-02-02,2017-02-02 09:30:00-05:00,2017-02-02 16:00:00-05:00,1d
125.48,125.8,125.33,125.66,55765888.0,390,379,11,False,2017-02-03 09:30:00-05:00,2017-02-03,2017-02-03 09:30:00-05:00,2017-02-03 16:00:00-05:00,1d
125.45,125.84,125.35,125.82,47559896.0,390,382,8,False,2017-02-06 09:30:00-05:00,2017-02-06,2017-02-06 09:30:00-05:00,2017-02-06 16:00:00-05:00,1d
126.06,126.54,125.97,126.28,42728729.0,390,385,5,False,2017-02-07 09:30:00-05:00,2017-02-07,2017-02-07 09:30:00-05:00,2017-02-07 16:00:00-05:00,1d
126.11,126.67,125.88,126.51,46480497.0,390,376,14,False,2017-02-08 09:30:00-05:00,2017-02-08,2017-02-08 09:30:00-05:00,2017-02-08 16:00:00-05:00,1d
126.65,127.23,126.56,126.97,36720058.0,390,375,15,False,2017-02-09 09:30:00-05:00,2017-02-09,2017-02-09 09:30:00-05:00,2017-02-09 16:00:00-05:00,1d
127.19,127.55,127.02,127.35,37144049.0,390,381,9,False,2017-02-10 09:30:00-05:00,2017-02-10,2017-02-10 09:30:00-05:00,2017-02-10 16:00:00-05:00,1d
127.76,128.26,127.71,128.09,29019862.0,390,378,12,False,2017-02-13 09:30:00-05:00,2017-02-13,2017-02-13 09:30:00-05:00,2017-02-13 16:00:00-05:00,1d
128.14,128.53,127.73,128.52,44632100.0,390,384,6,False,2017-02-14 09:30:00-05:00,2017-02-14,2017-02-14 09:30:00-05:00,2017-02-14 16:00:00-05:00,1d
128.45,129.34,128.37,129.28,42584322.0,390,386,4,False,2017-02-15 09:30:00-05:00,2017-02-15,2017-02-15 09:30:00-05:00,2017-02-15 16:00:00-05:00,1d
129.38,129.62,128.92,129.24,54714076.0,390,387,3,False,2017-02-16 09:30:00-05:00,2017-02-16,2017-02-16 09:30:00-05:00,2017-02-16 16:00:00-05:00,1d
129.09,129.81,129.04,129.81,42872754.0,390,380,10,False,2017-02-17 09:30:00-05:00,2017-02-17,2017-02-17 09:30:00-05:00,2017-02-17 16:00:00-05:00,1d
130.03,130.52,129.98,130.44,38163481.0,390,377,13,False,2017-02-21 09:30:00-05:00,2017-02-21,2017-02-21 09:30:00-05:00,2017-02-21 16:00:00-05:00,1d
130.31,130.58,130.11,130.48,38206118.0,390,379,11,False,2017-02-22 09:30:00-05:00,2017-02-22,2017-02-22 09:30:00-05:00,2017-02-22 16:00:00-05:00,1d
130.67,130.67,129.48,130.01,49536047.0,390,387,3,False,2017-02-23 09:30:00-05:00,2017-02-23,2017-02-23 09:30:00-05:00,2017-02-23 16:00:00-05:00,1d
129.48,130.25,129.37,130.25,46717235.0,390,373,17,False,2017-02-24 09:30:00-05:00,2017-02-24,2017-02-24 09:30:00-05:00,2017-02-24 16:00:00-05:00,1d
130.01,130.42,129.8,130.42,40812062.0,390,377,13,False,2017-02-27 09:30:00-05:00,2017-02-27,2017-02-27 09:30:00-05:00,2017-02-27 16:00:00-05:00,1d
130.38,130.43,129.65,130.01,40875260.0,390,387,3,False,2017-02-28 09:30:00-05:00,2017-02-28,2017-02-28 09:30:00-05:00,2017-02-28 16:00:00-05:00,1d
130.81,131.67,130.6,131.45,43948509.0,390,384,6,False,2017-03-01 09:30:00-05:00,2017-03-01,2017-03-01 09:30:00-05:00,2017-03-01 16:00:00-05:00,1d
131.43,131.43,130.62,130.79,49038099.0,390,380,10,False,2017-03-02 09:30:00-05:00,2017-03-02,2017-03-02 09:30:00-05:00,2017-03-02 16:00:00-05:00,1d
130.65,131.05,130.34,131.03,52750075.0,390,389,1,False,2017-03-03 09:30:00-05:00,2017-03-03,2017-03-03 09:30:00-05:00,2017-03-03 16:00:00-05:00,1d
130.55,130.94,130.21,130.73,40365287.0,390,379,11,False,2017-03-06 09:30:00-05:00,2017-03-06,2017-03-06 09:30:00-05:00,2017-03-06 16:00:00-05:00,1d
130.44,131.07,130.28,130.5,42331528.0,390,386,4,False,2017-03-07 09:30:00-05:00,2017-03-07,2017-03-07 09:30:00-05:00,2017-03-07 16:00:00-05:00,1d
130.56,131.14,130.46,130.73,48547244.0,390,388,2,False,2017-03-08 09:30:00-05:00,2017-03-08,2017-03-08 09:30:00-05:00,2017-03-08 16:00:00-05:00,1d
130.71,131.02,130.14,130.84,61536691.0,390,387,3,False,2017-03-09 09:30:00-05:00,2017-03-09,2017-03-09 09:30:00-05:00,2017-03-09 16:00:00-05:00,1d
131.41,131.6,130.82,131.37,60907007.0,390,388,2,False,2017-03-10 09:30:00-05:00,2017-03-10,2017-03-10 09:30:00-05:00,2017-03-10 16:00:00-05:00,1d
131.33,131.63,131.26,131.59,585315661.0,390,380,10,False,2017-03-13 09:30:00-04:00,2017-03-13,2017-03-13 09:30:00-04:00,2017-03-13 16:00:00-04:00,1d
131.3,131.36,130.75,131.27,727395090.0,390,383,7,False,2017-03-14 09:30:00-04:00,2017-03-14,2017-03-14 09:30:00-04:00,2017-03-14 16:00:00-04:00,1d
131.57,132.4,131.14,132.1,55628773.0,390,378,12,False,2017-03-15 09:30:00-04:00,2017-03-15,2017-03-15 09:30:00-04:00,2017-03-15 16:00:00-04:00,1d
132.33,132.34,131.71,132.02,39493049.0,390,384,6,False,2017-03-16 09:30:00-04:00,2017-03-16,2017-03-16 09:30:00-04:00,2017-03-16 16:00:00-04:00,1d
131.87,132.03,131.63,131.64,22299990.0,390,372,18,False,2017-03-17 09:30:00-04:00,2017-03-17,2017-03-17 09:30:00-04:00,2017-03-17 16:00:00-04:00,1d
131.63,132.1,131.46,131.79,23889995.0,390,376,14,False,2017-03-20 09:30:00-04:00,2017-03-20,2017-03-20 09:30:00-04:00,2017-03-20 16:00:00-04:00,1d
132.29,132.42,129.73,129.82,85909962.0,390,390,0,True,2017-03-21 09:30:00-04:00,2017-03-21,2017-03-21 09:30:00-04:00,2017-03-21 16:00:00-04:00,1d
129.86,130.81,129.67,130.68,58599967.0,390,390,0,True,2017-03-22 09:30:00-04:00,2017-03-22,2017-03-22 09:30:00-04:00,2017-03-22 16:00:00-04:00,1d
130.42,130.87,130.14,130.4,69429970.0,390,390,0,True,2017-03-23 09:30:00-04:00,2017-03-23,2017-03-23 09:30:00-04:00,2017-03-23 16:00:00-04:00,1d
130.79,131.28,130.13,130.63,84965565.0,390,390,0,True,2017-03-24 09:30:00-04:00,2017-03-24,2017-03-24 09:30:00-04:00,2017-03-24 16:00:00-04:00,1d
129.69,131.06,129.4,130.85,88049963.0,390,390,0,True,2017-03-27 09:30:00-04:00,2017-03-27,2017-03-27 09:30:00-04:00,2017-03-27 16:00:00-04:00,1d
130.81,132.02,130.55,131.65,102319980.0,390,390,0,True,2017-03-28 09:30:00-04:00,2017-03-28,2017-03-28 09:30:00-04:00,2017-03-28 16:00:00-04:00,1d
131.71,132.29,131.59,132.24,79569970.0,390,388,2,False,2017-03-29 09:30:00-04:00,2017-03-29,2017-03-29 09:30:00-04:00,2017-03-29 16:00:00-04:00,1d
132.21,132.61,132.08,132.45,74519976.0,390,390,0,True,2017-03-30 09:30:00-04:00,2017-03-30,2017-03-30 09:30:00-04:00,2017-03-30 16:00:00-04:00,1d
132.28,132.73,132.12,132.37,58639979.0,390,386,4,False,2017-03-31 09:30:00-04:00,2017-03-31,2017-03-31 09:30:00-04:00,2017-03-31 16:00:00-04:00,1d
132.5,132.8,131.55,132.27,210308919.0,390,390,0,True,2017-04-03 09:30:00-04:00,2017-04-03,2017-04-03 09:30:00-04:00,2017-04-03 16:00:00-04:00,1d
131.89,132.52,131.87,132.49,203569343.0,390,390,0,True,2017-04-04 09:30:00-04:00,2017-04-04,2017-04-04 09:30:00-04:00,2017-04-04 16:00:00-04:00,1d
132.69,133.47,131.71,131.97,228820714.0,390,390,0,True,2017-04-05 09:30:00-04:00,2017-04-05,2017-04-05 09:30:00-04:00,2017-04-05 16:00:00-04:00,1d
132.1,132.39,131.7,132.04,250649403.0,390,390,0,True,2017-04-06 09:30:00-04:00,2017-04-06,2017-04-06 09:30:00-04:00,2017-04-06 16:00:00-04:00,1d
131.98,132.36,131.5,131.96,207266837.0,390,390,0,True,2017-04-07 09:30:00-04:00,2017-04-07,2017-04-07 09:30:00-04:00,2017-04-07 16:00:00-04:00,1d
132.09,132.56,131.65,132.03,203347915.0,390,390,0,True,2017-04-10 09:30:00-04:00,2017-04-10,2017-04-10 09:30:00-04:00,2017-04-10 16:00:00-04:00,1d
131.86,132.09,130.5,131.49,261544044.0,390,390,0,True,2017-04-11 09:30:00-04:00,2017-04-11,2017-04-11 09:30:00-04:00,2017-04-11 16:00:00-04:00,1d
131.44,131.54,130.78,130.93,242308251.0,390,390,0,True,2017-04-12 09:30:00-04:00,2017-04-12,2017-04-12 09:30:00-04:00,2017-04-12 16:00:00-04:00,1d
130.75,131.5,130.38,130.38,247385725.0,390,390,0,True,2017-04-13 09:30:00-04:00,2017-04-13,2017-04-13 09:30:00-04:00,2017-04-13 16:00:00-04:00,1d
130.78,131.49,130.72,131.47,183485112.0,390,390,0,True,2017-04-17 09:30:00-04:00,2017-04-17,2017-04-17 09:30:00-04:00,2017-04-17 16:00:00-04:00,1d
131.0,131.65,130.95,131.29,213155142.0,390,390,0,True,2017-04-18 09:30:00-04:00,2017-04-18,2017-04-18 09:30:00-04:00,2017-04-18 16:00:00-04:00,1d
131.82,132.28,131.31,131.5,214256618.0,390,390,0,True,2017-04-19 09:30:00-04:00,2017-04-19,2017-04-19 09:30:00-04:00,2017-04-19 16:00:00-04:00,1d
132.02,132.88,131.82,132.56,206722032.0,390,390,0,True,2017-04-20 09:30:00-04:00,2017-04-20,2017-04-20 09:30:00-04:00,2017-04-20 16:00:00-04:00,1d
132.7,132.75,132.22,132.55,205832571.0,390,390,0,True,2017-04-21 09:30:00-04:00,2017-04-21,2017-04-21 09:30:00-04:00,2017-04-21 16:00:00-04:00,1d
134.01,134.28,133.8,134.15,201069884.0,390,390,0,True,2017-04-24 09:30:00-04:00,2017-04-24,2017-04-24 09:30:00-04:00,2017-04-24 16:00:00-04:00,1d
134.58,135.36,134.48,135.14,192933036.0,390,390,0,True,2017-04-25 09:30:00-04:00,2017-04-25,2017-04-25 09:30:00-04:00,2017-04-25 16:00:00-04:00,1d
