open,high,low,close,volume,expected_minutes,observed_minutes,missing_minutes,is_complete,timestamp,session_date,market_open_et,market_close_et,timeframe
125.57,125.81,125.34,125.49,21681060.0,240,237,3,False,2017-01-26 09:30:00-05:00,2017-01-26,2017-01-26 09:30:00-05:00,2017-01-26 16:00:00-05:00,4h
125.48,125.75,125.46,125.53,6406340.0,150,148,2,False,2017-01-26 13:30:00-05:00,2017-01-26,2017-01-26 09:30:00-05:00,2017-01-26 16:00:00-05:00,4h
125.8,125.91,125.39,125.72,23304330.0,240,236,4,False,2017-01-27 09:30:00-05:00,2017-01-27,2017-01-27 09:30:00-05:00,2017-01-27 16:00:00-05:00,4h
125.72,125.81,125.58,125.78,4643460.0,150,132,18,False,2017-01-27 13:30:00-05:00,2017-01-27,2017-01-27 09:30:00-05:00,2017-01-27 16:00:00-05:00,4h
125.37,125.37,124.12,124.54,71591862.0,240,238,2,False,2017-01-30 09:30:00-05:00,2017-01-30,2017-01-30 09:30:00-05:00,2017-01-30 16:00:00-05:00,4h
124.54,124.9,124.42,124.85,22330011.0,150,149,1,False,2017-01-30 13:30:00-05:00,2017-01-30,2017-01-30 09:30:00-05:00,2017-01-30 16:00:00-05:00,4h
124.37,124.54,123.85,124.13,74600956.0,240,240,0,True,2017-01-31 09:30:00-05:00,2017-01-31,2017-01-31 09:30:00-05:00,2017-01-31 16:00:00-05:00,4h
124.14,124.58,123.92,124.58,23441779.0,150,150,0,True,2017-01-31 13:30:00-05:00,2017-01-31,2017-01-31 09:30:00-05:00,2017-01-31 16:00:00-05:00,4h
125.42,125.67,124.86,125.22,25460044.0,240,239,1,False,2017-02-01 09:30:00-05:00,2017-02-01,2017-02-01 09:30:00-05:00,2017-02-01 16:00:00-05:00,4h
125.23,125.6,125.04,125.41,16820398.0,150,149,1,False,2017-02-01 13:30:00-05:00,2017-02-01,2017-02-01 09:30:00-05:00,2017-02-01 16:00:00-05:00,4h
125.19,125.69,124.85,125.17,39060705.0,240,236,4,False,2017-02-02 09:30:00-05:00,2017-02-02,2017-02-02 09:30:00-05:00,2017-02-02 16:00:00-05:00,4h
125.16,125.39,125.06,125.3,14633806.0,150,149,1,False,2017-02-02 13:30:00-05:00,2017-02-02,2017-02-02 09:30:00-05:00,2017-02-02 16:00:00-05:00,4h
125.48,125.8,125.33,125.57,45969593.0,240,236,4,False,2017-02-03 09:30:00-05:00,2017-02-03,2017-02-03 09:30:00-05:00,2017-02-03 16:00:00-05:00,4h
125.57,125.7,125.45,125.66,9796295.0,150,143,7,False,2017-02-03 13:30:00-05:00,2017-02-03,2017-02-03 09:30:00-05:00,2017-02-03 16:00:00-05:00,4h
125.45,125.84,125.35,125.59,33390013.0,240,236,4,False,2017-02-06 09:30:00-05:00,2017-02-06,2017-02-06 09:30:00-05:00,2017-02-06 16:00:00-05:00,4h
125.59,125.82,125.5,125.82,14169883.0,150,146,4,False,2017-02-06 13:30:00-05:00,2017-02-06,2017-02-06 09:30:00-05:00,2017-02-06 16:00:00-05:00,4h
126.06,126.54,125.97,126.25,32362020.0,240,240,0,True,2017-02-07 09:30:00-05:00,2017-02-07,2017-02-07 09:30:00-05:00,2017-02-07 16:00:00-05:00,4h
126.25,126.36,126.12,126.28,10366709.0,150,145,5,False,2017-02-07 13:30:00-05:00,2017-02-07,2017-02-07 09:30:00-05:00,2017-02-07 16:00:00-05:00,4h
126.11,126.56,125.88,126.49,36571143.0,240,239,1,False,2017-02-08 09:30:00-05:00,2017-02-08,2017-02-08 09:30:00-05:00,2017-02-08 16:00:00-05:00,4h
126.5,126.67,126.47,126.51,9909354.0,150,137,13,False,2017-02-08 13:30:00-05:00,2017-02-08,2017-02-08 09:30:00-05:00,2017-02-08 16:00:00-05:00,4h
126.65,127.21,126.56,127.08,28612821.0,240,236,4,False,2017-02-09 09:30:00-05:00,2017-02-09,2017-02-09 09:30:00-05:00,2017-02-09 16:00:00-05:00,4h
127.08,127.23,126.94,126.97,8107237.0,150,139,11,False,2017-02-09 13:30:00-05:00,2017-02-09,2017-02-09 09:30:00-05:00,2017-02-09 16:00:00-05:00,4h
127.19,127.55,127.02,127.46,29070380.0,240,239,1,False,2017-02-10 09:30:00-05:00,2017-02-10,2017-02-10 09:30:00-05:00,2017-02-10 16:00:00-05:00,4h
127.46,127.54,127.34,127.35,8073669.0,150,142,8,False,2017-02-10 13:30:00-05:00,2017-02-10,2017-02-10 09:30:00-05:00,2017-02-10 16:00:00-05:00,4h
127.76,128.18,127.71,128.17,19934653.0,240,233,7,False,2017-02-13 09:30:00-05:00,2017-02-13,2017-02-13 09:30:00-05:00,2017-02-13 16:00:00-05:00,4h
128.18,128.26,128.05,128.09,9085209.0,150,145,5,False,2017-02-13 13:30:00-05:00,2017-02-13,2017-02-13 09:30:00-05:00,2017-02-13 16:00:00-05:00,4h
128.14,128.45,127.73,128.41,34937334.0,240,239,1,False,2017-02-14 09:30:00-05:00,2017-02-14,2017-02-14 09:30:00-05:00,2017-02-14 16:00:00-05:00,4h
128.42,128.53,128.31,128.52,9694766.0,150,145,5,False,2017-02-14 13:30:00-05:00,2017-02-14,2017-02-14 09:30:00-05:00,2017-02-14 16:00:00-05:00,4h
128.45,128.98,128.37,128.95,29947095.0,240,239,1,False,2017-02-15 09:30:00-05:00,2017-02-15,2017-02-15 09:30:00-05:00,2017-02-15 16:00:00-05:00,4h
128.96,129.34,128.93,129.28,12637227.0,150,147,3,False,2017-02-15 13:30:00-05:00,2017-02-15,2017-02-15 09:30:00-05:00,2017-02-15 16:00:00-05:00,4h
