index,open,high,low,close,volume,session_date
2017-01-26 16:00:00-05:00,125.54,125.54,125.53,125.53,26400,2017-01-26
2017-01-27 16:00:00-05:00,125.77,125.78,125.77,125.77,15380,2017-01-27
2017-01-30 16:00:00-05:00,124.84,124.84,124.83,124.83,40870,2017-01-30
2017-01-31 16:00:00-05:00,124.59,124.59,124.58,124.58,5120,2017-01-31
2017-02-01 16:00:00-05:00,125.41,125.42,125.41,125.42,6580,2017-02-01
2017-02-02 16:00:00-05:00,125.31,125.31,125.31,125.31,31280,2017-02-02
2017-02-03 16:00:00-05:00,125.67,125.67,125.67,125.67,5480,2017-02-03
2017-02-06 16:00:00-05:00,125.82,125.82,125.82,125.82,19390,2017-02-06
2017-02-07 16:00:00-05:00,126.27,126.28,126.27,126.28,11700,2017-02-07
2017-02-08 16:00:00-05:00,126.5,126.51,126.49,126.49,60690,2017-02-08
2017-02-09 16:00:00-05:00,126.97,126.98,126.97,126.97,3250,2017-02-09
2017-02-10 16:00:00-05:00,127.36,127.37,127.36,127.37,16960,2017-02-10
2017-02-13 16:00:00-05:00,128.09,128.09,128.09,128.09,16800,2017-02-13
2017-02-14 16:00:00-05:00,128.52,128.52,128.52,128.52,15699,2017-02-14
2017-02-15 16:00:00-05:00,129.28,129.28,129.28,129.28,23500,2017-02-15
2017-02-16 16:00:00-05:00,129.24,129.24,129.24,129.24,9690,2017-02-16
2017-02-17 16:00:00-05:00,129.79,129.8,129.79,129.8,2009,2017-02-17
2017-02-21 16:00:00-05:00,130.45,130.45,130.43,130.43,17610,2017-02-21
2017-02-22 16:00:00-05:00,130.49,130.49,130.49,130.49,20390,2017-02-22
2017-02-23 16:00:00-05:00,130.01,130.01,130.01,130.01,9000,2017-02-23
2017-02-24 16:00:00-05:00,130.24,130.25,130.24,130.25,54180,2017-02-24
2017-02-27 16:00:00-05:00,130.41,130.41,130.41,130.41,11500,2017-02-27
2017-02-28 16:00:00-05:00,130.01,130.01,130.0,130.0,29800,2017-02-28
2017-03-01 16:00:00-05:00,131.44,131.44,131.43,131.43,12710,2017-03-01
2017-03-02 16:00:00-05:00,130.78,130.79,130.77,130.77,23060,2017-03-02
2017-03-03 16:00:00-05:00,131.02,131.02,131.0,131.0,6580,2017-03-03
2017-03-06 16:00:00-05:00,130.72,130.72,130.72,130.72,2800,2017-03-06
2017-03-07 16:00:00-05:00,130.5,130.5,130.5,130.5,17220,2017-03-07
2017-03-08 16:00:00-05:00,130.73,130.73,130.73,130.73,30680,2017-03-08
2017-03-09 16:00:00-05:00,130.84,130.84,130.83,130.83,13680,2017-03-09
2017-03-10 16:00:00-05:00,131.37,131.38,131.37,131.38,18500,2017-03-10
2017-03-13 16:00:00-04:00,131.6,131.6,131.56,131.56,249630,2017-03-13
2017-03-13 16:01:00-04:00,131.56,131.56,131.54,131.55,335580,2017-03-13
2017-03-13 16:02:00-04:00,131.55,131.55,131.54,131.54,63479,2017-03-13
2017-03-13 16:03:00-04:00,131.54,131.56,131.54,131.54,103600,2017-03-13
2017-03-13 16:04:00-04:00,131.55,131.55,131.54,131.54,52180,2017-03-13
2017-03-13 16:05:00-04:00,131.55,131.55,131.54,131.54,134670,2017-03-13
2017-03-13 16:06:00-04:00,131.55,131.56,131.54,131.56,115860,2017-03-13
2017-03-13 16:07:00-04:00,131.56,131.57,131.56,131.57,111240,2017-03-13
2017-03-13 16:08:00-04:00,131.57,131.57,131.56,131.57,57480,2017-03-13
2017-03-13 16:09:00-04:00,131.57,131.58,131.56,131.57,107810,2017-03-13
2017-03-13 16:10:00-04:00,131.57,131.59,131.56,131.58,58600,2017-03-13
2017-03-13 16:11:00-04:00,131.57,131.59,131.57,131.59,75740,2017-03-13
2017-03-13 16:12:00-04:00,131.59,131.6,131.59,131.59,150980,2017-03-13
2017-03-13 16:13:00-04:00,131.6,131.6,131.59,131.59,33730,2017-03-13
2017-03-13 16:14:00-04:00,131.59,131.61,131.59,131.61,154090,2017-03-13
2017-03-13 16:15:00-04:00,131.6,131.6,131.56,131.57,1606,2017-03-13
2017-03-13 16:16:00-04:00,131.58,131.58,131.58,131.58,5000,2017-03-13
2017-03-13 16:17:00-04:00,131.58,131.58,131.58,131.58,5000,2017-03-13
2017-03-13 16:19:00-04:00,131.59,131.59,131.59,131.59,1000,2017-03-13
2017-03-13 16:20:00-04:00,131.59,131.59,131.59,131.59,970,2017-03-13
2017-03-13 16:21:00-04:00,131.59,131.59,131.59,131.59,970,2017-03-13
2017-03-13 16:22:00-04:00,131.59,131.59,131.59,131.59,970,2017-03-13
2017-03-13 16:24:00-04:00,131.59,131.59,131.59,131.59,2380,2017-03-13
2017-03-13 16:25:00-04:00,131.58,131.58,131.57,131.57,5001,2017-03-13
2017-03-13 16:26:00-04:00,131.59,131.59,131.59,131.59,5000,2017-03-13
2017-03-13 16:30:00-04:00,131.6,131.6,131.59,131.59,72940,2017-03-13
2017-03-13 16:31:00-04:00,131.59,131.6,131.59,131.6,47380,2017-03-13
2017-03-13 16:32:00-04:00,131.59,131.61,131.59,131.59,30250,2017-03-13
2017-03-13 16:33:00-04:00,131.61,131.61,131.6,131.6,6690,2017-03-13
2017-03-13 16:34:00-04:00,131.61,131.61,131.59,131.6,18470,2017-03-13
2017-03-13 16:35:00-04:00,131.61,131.61,131.59,131.59,9490,2017-03-13
2017-03-13 16:36:00-04:00,131.59,131.6,131.59,131.6,41180,2017-03-13
2017-03-13 16:37:00-04:00,131.59,131.59,131.59,131.59,6800,2017-03-13
