open,high,low,close,volume,expected_minutes,observed_minutes,missing_minutes,is_complete,timestamp,session_date,market_open_et,market_close_et,timeframe
257.38,257.52,256.19,256.63,24516357.0,60,60,0,True,2017-11-02 09:30:00-04:00,2017-11-02,2017-11-02 09:30:00-04:00,2017-11-02 16:00:00-04:00,1h
256.64,257.26,256.59,256.81,21214995.0,60,60,0,True,2017-11-02 10:30:00-04:00,2017-11-02,2017-11-02 09:30:00-04:00,2017-11-02 16:00:00-04:00,1h
256.82,257.46,256.62,257.42,24150233.0,60,60,0,True,2017-11-02 11:30:00-04:00,2017-11-02,2017-11-02 09:30:00-04:00,2017-11-02 16:00:00-04:00,1h
257.42,257.43,257.17,257.2,16260654.0,60,60,0,True,2017-11-02 12:30:00-04:00,2017-11-02,2017-11-02 09:30:00-04:00,2017-11-02 16:00:00-04:00,1h
257.2,257.43,257.11,257.42,15448310.0,60,59,1,False,2017-11-02 13:30:00-04:00,2017-11-02,2017-11-02 09:30:00-04:00,2017-11-02 16:00:00-04:00,1h
257.42,257.43,257.05,257.39,16510199.0,60,60,0,True,2017-11-02 14:30:00-04:00,2017-11-02,2017-11-02 09:30:00-04:00,2017-11-02 16:00:00-04:00,1h
257.39,257.74,257.39,257.61,11686038.0,30,30,0,True,2017-11-02 15:30:00-04:00,2017-11-02,2017-11-02 09:30:00-04:00,2017-11-02 16:00:00-04:00,1h
257.77,257.85,257.3,257.49,24086858.0,60,60,0,True,2017-11-03 09:30:00-04:00,2017-11-03,2017-11-03 09:30:00-04:00,2017-11-03 16:00:00-04:00,1h
257.49,257.85,257.39,257.83,19620341.0,60,60,0,True,2017-11-03 10:30:00-04:00,2017-11-03,2017-11-03 09:30:00-04:00,2017-11-03 16:00:00-04:00,1h
257.83,258.16,257.72,258.12,17569681.0,60,60,0,True,2017-11-03 11:30:00-04:00,2017-11-03,2017-11-03 09:30:00-04:00,2017-11-03 16:00:00-04:00,1h
258.12,258.29,258.08,258.24,11897586.0,60,60,0,True,2017-11-03 12:30:00-04:00,2017-11-03,2017-11-03 09:30:00-04:00,2017-11-03 16:00:00-04:00,1h
258.24,258.49,258.23,258.46,15913466.0,60,60,0,True,2017-11-03 13:30:00-04:00,2017-11-03,2017-11-03 09:30:00-04:00,2017-11-03 16:00:00-04:00,1h
258.46,258.48,258.25,258.33,17086930.0,60,60,0,True,2017-11-03 14:30:00-04:00,2017-11-03,2017-11-03 09:30:00-04:00,2017-11-03 16:00:00-04:00,1h
258.33,258.44,258.22,258.44,11739575.0,30,30,0,True,2017-11-03 15:30:00-04:00,2017-11-03,2017-11-03 09:30:00-04:00,2017-11-03 16:00:00-04:00,1h
258.29,258.77,258.22,258.65,19651783.0,60,60,0,True,2017-11-06 09:30:00-05:00,2017-11-06,2017-11-06 09:30:00-05:00,2017-11-06 16:00:00-05:00,1h
258.65,258.79,258.51,258.76,15531302.0,60,60,0,True,2017-11-06 10:30:00-05:00,2017-11-06,2017-11-06 09:30:00-05:00,2017-11-06 16:00:00-05:00,1h
258.76,258.79,258.52,258.61,12588677.0,60,60,0,True,2017-11-06 11:30:00-05:00,2017-11-06,2017-11-06 09:30:00-05:00,2017-11-06 16:00:00-05:00,1h
258.61,258.86,258.61,258.74,11003099.0,60,60,0,True,2017-11-06 12:30:00-05:00,2017-11-06,2017-11-06 09:30:00-05:00,2017-11-06 16:00:00-05:00,1h
258.74,258.88,258.74,258.84,10863589.0,60,60,0,True,2017-11-06 13:30:00-05:00,2017-11-06,2017-11-06 09:30:00-05:00,2017-11-06 16:00:00-05:00,1h
258.84,258.98,258.75,258.95,10423660.0,60,60,0,True,2017-11-06 14:30:00-05:00,2017-11-06,2017-11-06 09:30:00-05:00,2017-11-06 16:00:00-05:00,1h
258.95,258.99,258.78,258.82,10727305.0,30,30,0,True,2017-11-06 15:30:00-05:00,2017-11-06,2017-11-06 09:30:00-05:00,2017-11-06 16:00:00-05:00,1h
258.98,259.35,258.9,258.98,22989798.0,60,60,0,True,2017-11-07 09:30:00-05:00,2017-11-07,2017-11-07 09:30:00-05:00,2017-11-07 16:00:00-05:00,1h
258.98,259.06,258.55,258.76,21109598.0,60,60,0,True,2017-11-07 10:30:00-05:00,2017-11-07,2017-11-07 09:30:00-05:00,2017-11-07 16:00:00-05:00,1h
258.76,258.81,258.09,258.37,22101958.0,60,60,0,True,2017-11-07 11:30:00-05:00,2017-11-07,2017-11-07 09:30:00-05:00,2017-11-07 16:00:00-05:00,1h
258.36,258.59,258.33,258.59,14223933.0,60,60,0,True,2017-11-07 12:30:00-05:00,2017-11-07,2017-11-07 09:30:00-05:00,2017-11-07 16:00:00-05:00,1h
258.59,258.65,258.34,258.42,14474347.0,60,60,0,True,2017-11-07 13:30:00-05:00,2017-11-07,2017-11-07 09:30:00-05:00,2017-11-07 16:00:00-05:00,1h
258.42,258.53,258.22,258.26,15735878.0,60,60,0,True,2017-11-07 14:30:00-05:00,2017-11-07,2017-11-07 09:30:00-05:00,2017-11-07 16:00:00-05:00,1h
258.26,258.69,258.24,258.68,10629677.0,30,30,0,True,2017-11-07 15:30:00-05:00,2017-11-07,2017-11-07 09:30:00-05:00,2017-11-07 16:00:00-05:00,1h
258.43,258.57,258.15,258.47,24361729.0,60,60,0,True,2017-11-08 09:30:00-05:00,2017-11-08,2017-11-08 09:30:00-05:00,2017-11-08 16:00:00-05:00,1h
258.47,258.67,258.23,258.57,17363303.0,60,60,0,True,2017-11-08 10:30:00-05:00,2017-11-08,2017-11-08 09:30:00-05:00,2017-11-08 16:00:00-05:00,1h
258.57,258.84,258.4,258.83,14664157.0,60,60,0,True,2017-11-08 11:30:00-05:00,2017-11-08,2017-11-08 09:30:00-05:00,2017-11-08 16:00:00-05:00,1h
258.83,259.07,258.73,259.02,13662269.0,60,60,0,True,2017-11-08 12:30:00-05:00,2017-11-08,2017-11-08 09:30:00-05:00,2017-11-08 16:00:00-05:00,1h
259.02,259.09,258.9,259.03,13059794.0,60,60,0,True,2017-11-08 13:30:00-05:00,2017-11-08,2017-11-08 09:30:00-05:00,2017-11-08 16:00:00-05:00,1h
259.03,259.13,258.95,259.07,12079805.0,60,60,0,True,2017-11-08 14:30:00-05:00,2017-11-08,2017-11-08 09:30:00-05:00,2017-11-08 16:00:00-05:00,1h
259.07,259.21,258.88,259.11,10397209.0,30,30,0,True,2017-11-08 15:30:00-05:00,2017-11-08,2017-11-08 09:30:00-05:00,2017-11-08 16:00:00-05:00,1h
257.71,258.3,257.43,258.11,36668964.0,60,60,0,True,2017-11-09 09:30:00-05:00,2017-11-09,2017-11-09 09:30:00-05:00,2017-11-09 16:00:00-05:00,1h
258.11,258.38,257.62,257.87,24409741.0,60,60,0,True,2017-11-09 10:30:00-05:00,2017-11-09,2017-11-09 09:30:00-05:00,2017-11-09 16:00:00-05:00,1h
257.87,257.9,256.59,256.64,40019228.0,60,60,0,True,2017-11-09 11:30:00-05:00,2017-11-09,2017-11-09 09:30:00-05:00,2017-11-09 16:00:00-05:00,1h
256.64,257.48,256.36,257.41,35731558.0,60,60,0,True,2017-11-09 12:30:00-05:00,2017-11-09,2017-11-09 09:30:00-05:00,2017-11-09 16:00:00-05:00,1h
257.41,257.88,257.35,257.69,22256557.0,60,60,0,True,2017-11-09 13:30:00-05:00,2017-11-09,2017-11-09 09:30:00-05:00,2017-11-09 16:00:00-05:00,1h
257.69,258.06,257.52,258.02,21519078.0,60,60,0,True,2017-11-09 14:30:00-05:00,2017-11-09,2017-11-09 09:30:00-05:00,2017-11-09 16:00:00-05:00,1h
258.02,258.37,258.02,258.18,12998702.0,30,30,0,True,2017-11-09 15:30:00-05:00,2017-11-09,2017-11-09 09:30:00-05:00,2017-11-09 16:00:00-05:00,1h
257.72,257.95,257.41,257.71,31030687.0,60,60,0,True,2017-11-10 09:30:00-05:00,2017-11-10,2017-11-10 09:30:00-05:00,2017-11-10 16:00:00-05:00,1h
257.71,257.8,257.36,257.57,25862796.0,60,60,0,True,2017-11-10 10:30:00-05:00,2017-11-10,2017-11-10 09:30:00-05:00,2017-11-10 16:00:00-05:00,1h
257.58,257.97,257.57,257.81,17293402.0,60,60,0,True,2017-11-10 11:30:00-05:00,2017-11-10,2017-11-10 09:30:00-05:00,2017-11-10 16:00:00-05:00,1h
257.82,257.9,257.63,257.87,14736353.0,60,60,0,True,2017-11-10 12:30:00-05:00,2017-11-10,2017-11-10 09:30:00-05:00,2017-11-10 16:00:00-05:00,1h
257.86,258.13,257.72,258.08,14007766.0,60,60,0,True,2017-11-10 13:30:00-05:00,2017-11-10,2017-11-10 09:30:00-05:00,2017-11-10 16:00:00-05:00,1h
258.08,258.2,258.03,258.15,14705754.0,60,60,0,True,2017-11-10 14:30:00-05:00,2017-11-10,2017-11-10 09:30:00-05:00,2017-11-10 16:00:00-05:00,1h
258.15,258.2,258.01,258.07,9937104.0,30,30,0,True,2017-11-10 15:30:00-05:00,2017-11-10,2017-11-10 09:30:00-05:00,2017-11-10 16:00:00-05:00,1h
257.29,258.24,257.26,258.22,26213599.0,60,60,0,True,2017-11-13 09:30:00-05:00,2017-11-13,2017-11-13 09:30:00-05:00,2017-11-13 16:00:00-05:00,1h
258.22,258.3,257.89,258.17,19415234.0,60,60,0,True,2017-11-13 10:30:00-05:00,2017-11-13,2017-11-13 09:30:00-05:00,2017-11-13 16:00:00-05:00,1h
258.17,258.35,258.05,258.19,15818444.0,60,60,0,True,2017-11-13 11:30:00-05:00,2017-11-13,2017-11-13 09:30:00-05:00,2017-11-13 16:00:00-05:00,1h
258.19,258.27,258.1,258.23,10966006.0,60,60,0,True,2017-11-13 12:30:00-05:00,2017-11-13,2017-11-13 09:30:00-05:00,2017-11-13 16:00:00-05:00,1h
258.23,258.41,258.19,258.35,10725066.0,60,60,0,True,2017-11-13 13:30:00-05:00,2017-11-13,2017-11-13 09:30:00-05:00,2017-11-13 16:00:00-05:00,1h
258.34,258.58,258.31,258.47,11726970.0,60,60,0,True,2017-11-13 14:30:00-05:00,2017-11-13,2017-11-13 09:30:00-05:00,2017-11-13 16:00:00-05:00,1h
258.47,258.48,258.13,258.34,11085664.0,30,30,0,True,2017-11-13 15:30:00-05:00,2017-11-13,2017-11-13 09:30:00-05:00,2017-11-13 16:00:00-05:00,1h
257.39,257.66,256.52,257.07,32577869.0,60,60,0,True,2017-11-14 09:30:00-05:00,2017-11-14,2017-11-14 09:30:00-05:00,2017-11-14 16:00:00-05:00,1h
257.07,257.85,256.88,257.57,25766770.0,60,60,0,True,2017-11-14 10:30:00-05:00,2017-11-14,2017-11-14 09:30:00-05:00,2017-11-14 16:00:00-05:00,1h
257.57,257.82,257.47,257.7,18236333.0,60,60,0,True,2017-11-14 11:30:00-05:00,2017-11-14,2017-11-14 09:30:00-05:00,2017-11-14 16:00:00-05:00,1h
257.71,257.83,257.09,257.42,21165931.0,60,60,0,True,2017-11-14 12:30:00-05:00,2017-11-14,2017-11-14 09:30:00-05:00,2017-11-14 16:00:00-05:00,1h
257.42,257.68,257.33,257.61,15679862.0,60,60,0,True,2017-11-14 13:30:00-05:00,2017-11-14,2017-11-14 09:30:00-05:00,2017-11-14 16:00:00-05:00,1h
257.62,257.81,257.51,257.56,16146137.0,60,60,0,True,2017-11-14 14:30:00-05:00,2017-11-14,2017-11-14 09:30:00-05:00,2017-11-14 16:00:00-05:00,1h
257.56,257.79,257.45,257.74,13226919.0,30,30,0,True,2017-11-14 15:30:00-05:00,2017-11-14,2017-11-14 09:30:00-05:00,2017-11-14 16:00:00-05:00,1h
256.66,256.68,255.64,256.32,39705249.0,60,60,0,True,2017-11-15 09:30:00-05:00,2017-11-15,2017-11-15 09:30:00-05:00,2017-11-15 16:00:00-05:00,1h
256.32,257.21,256.25,257.04,29455882.0,60,60,0,True,2017-11-15 10:30:00-05:00,2017-11-15,2017-11-15 09:30:00-05:00,2017-11-15 16:00:00-05:00,1h
257.04,257.1,256.66,256.89,20379487.0,60,60,0,True,2017-11-15 11:30:00-05:00,2017-11-15,2017-11-15 09:30:00-05:00,2017-11-15 16:00:00-05:00,1h
256.89,256.98,256.65,256.66,15559360.0,60,60,0,True,2017-11-15 12:30:00-05:00,2017-11-15,2017-11-15 09:30:00-05:00,2017-11-15 16:00:00-05:00,1h
256.67,256.87,256.51,256.69,17947838.0,60,60,0,True,2017-11-15 13:30:00-05:00,2017-11-15,2017-11-15 09:30:00-05:00,2017-11-15 16:00:00-05:00,1h
256.69,257.01,256.51,256.57,18682971.0,60,60,0,True,2017-11-15 14:30:00-05:00,2017-11-15,2017-11-15 09:30:00-05:00,2017-11-15 16:00:00-05:00,1h
256.57,256.78,256.25,256.42,16755789.0,30,30,0,True,2017-11-15 15:30:00-05:00,2017-11-15,2017-11-15 09:30:00-05:00,2017-11-15 16:00:00-05:00,1h
257.48,258.14,257.47,258.02,24732600.0,60,60,0,True,2017-11-16 09:30:00-05:00,2017-11-16,2017-11-16 09:30:00-05:00,2017-11-16 16:00:00-05:00,1h
258.02,258.52,258.02,258.29,20551809.0,60,60,0,True,2017-11-16 10:30:00-05:00,2017-11-16,2017-11-16 09:30:00-05:00,2017-11-16 16:00:00-05:00,1h
258.29,258.76,258.24,258.76,13803810.0,60,60,0,True,2017-11-16 11:30:00-05:00,2017-11-16,2017-11-16 09:30:00-05:00,2017-11-16 16:00:00-05:00,1h
258.76,258.88,258.65,258.68,14213220.0,60,60,0,True,2017-11-16 12:30:00-05:00,2017-11-16,2017-11-16 09:30:00-05:00,2017-11-16 16:00:00-05:00,1h
258.68,259.03,258.68,258.86,14990019.0,60,60,0,True,2017-11-16 13:30:00-05:00,2017-11-16,2017-11-16 09:30:00-05:00,2017-11-16 16:00:00-05:00,1h
258.86,258.98,258.63,258.77,17297030.0,60,60,0,True,2017-11-16 14:30:00-05:00,2017-11-16,2017-11-16 09:30:00-05:00,2017-11-16 16:00:00-05:00,1h
258.77,258.77,258.52,258.59,14186587.0,30,30,0,True,2017-11-16 15:30:00-05:00,2017-11-16,2017-11-16 09:30:00-05:00,2017-11-16 16:00:00-05:00,1h
