index,open,high,low,close,volume,session_date
2019-07-03 13:00:00-04:00,298.74,298.82,298.7,298.78,929410,2019-07-03
2019-07-03 13:01:00-04:00,298.78,298.78,298.65,298.68,357110,2019-07-03
2019-07-03 13:02:00-04:00,298.68,298.82,298.68,298.82,400710,2019-07-03
2019-07-03 13:03:00-04:00,298.82,298.82,298.73,298.74,327901,2019-07-03
2019-07-03 13:04:00-04:00,298.74,298.78,298.72,298.73,221352,2019-07-03
2019-07-03 13:05:00-04:00,298.73,298.78,298.73,298.78,52535,2019-07-03
2019-07-03 13:06:00-04:00,298.78,298.8,298.75,298.77,264234,2019-07-03
2019-07-03 13:07:00-04:00,298.77,298.86,298.77,298.81,228029,2019-07-03
2019-07-03 13:08:00-04:00,298.81,298.81,298.75,298.79,67157,2019-07-03
2019-07-03 13:09:00-04:00,298.79,298.85,298.76,298.83,69975,2019-07-03
2019-07-03 13:10:00-04:00,298.85,298.86,298.8,298.81,139395,2019-07-03
2019-07-03 13:11:00-04:00,298.85,298.89,298.82,298.87,117611,2019-07-03
2019-07-03 13:12:00-04:00,298.87,298.88,298.82,298.83,106050,2019-07-03
2019-07-03 13:13:00-04:00,298.83,298.87,298.77,298.83,145752,2019-07-03
2019-07-03 13:14:00-04:00,298.85,298.91,298.81,298.9,176964,2019-07-03
2019-07-03 13:15:00-04:00,298.9,298.9,298.84,298.88,12463,2019-07-03
2019-07-03 13:16:00-04:00,298.88,298.89,298.88,298.88,7290,2019-07-03
2019-07-03 13:17:00-04:00,298.88,298.88,298.88,298.88,660,2019-07-03
2019-07-03 13:18:00-04:00,298.88,298.88,298.85,298.85,8930,2019-07-03
2019-07-03 13:19:00-04:00,298.85,298.87,298.84,298.86,14180,2019-07-03
2019-07-03 13:20:00-04:00,298.88,298.88,298.87,298.87,1950,2019-07-03
2019-07-03 13:21:00-04:00,298.88,298.88,298.82,298.83,10160,2019-07-03
2019-07-03 13:22:00-04:00,298.83,298.85,298.83,298.85,7762,2019-07-03
2019-07-03 13:23:00-04:00,298.83,298.83,298.83,298.83,5830,2019-07-03
2019-07-03 13:24:00-04:00,298.85,298.85,298.83,298.83,13072,2019-07-03
2019-07-03 13:25:00-04:00,298.83,298.83,298.83,298.83,2690,2019-07-03
2019-07-03 13:26:00-04:00,298.83,298.83,298.83,298.83,3700,2019-07-03
2019-07-03 13:28:00-04:00,298.83,298.83,298.83,298.83,6390,2019-07-03
2019-07-03 13:29:00-04:00,298.83,298.85,298.83,298.83,4200,2019-07-03
2019-07-03 13:30:00-04:00,298.83,298.83,298.83,298.83,3700,2019-07-03
2019-07-03 13:31:00-04:00,298.83,298.84,298.83,298.84,3741,2019-07-03
2019-07-03 13:32:00-04:00,298.84,298.84,298.84,298.84,24,2019-07-03
2019-07-03 13:33:00-04:00,298.84,298.84,298.8,298.8,679,2019-07-03
2019-07-03 13:34:00-04:00,298.8,298.8,298.75,298.8,9314,2019-07-03
2019-07-03 13:35:00-04:00,298.8,298.81,298.8,298.8,4281,2019-07-03
2019-07-03 13:36:00-04:00,298.8,298.81,298.8,298.81,3180,2019-07-03
2019-07-03 13:37:00-04:00,298.81,298.81,298.8,298.8,410,2019-07-03
2019-07-03 13:38:00-04:00,298.8,298.81,298.8,298.81,3070,2019-07-03
2019-07-03 13:39:00-04:00,298.81,298.81,298.81,298.81,740,2019-07-03
2019-07-03 13:40:00-04:00,298.84,298.86,298.84,298.84,1190,2019-07-03
2019-07-03 13:41:00-04:00,298.84,298.84,298.84,298.84,600,2019-07-03
2019-07-03 13:42:00-04:00,298.84,298.84,298.82,298.82,4410,2019-07-03
2019-07-03 13:43:00-04:00,298.82,298.82,298.8,298.8,3000,2019-07-03
2019-07-03 13:44:00-04:00,298.8,298.8,298.75,298.75,7120,2019-07-03
2019-07-03 13:45:00-04:00,298.75,298.78,298.75,298.78,1770,2019-07-03
2019-07-03 13:46:00-04:00,298.75,298.75,298.75,298.75,1110,2019-07-03
2019-07-03 13:47:00-04:00,298.74,298.74,298.69,298.69,17041,2019-07-03
2019-07-03 13:48:00-04:00,298.69,298.69,298.61,298.61,10708,2019-07-03
2019-07-03 13:49:00-04:00,298.62,298.62,298.49,298.49,7067,2019-07-03
2019-07-03 13:50:00-04:00,298.49,298.49,298.43,298.48,3578,2019-07-03
2019-07-03 13:51:00-04:00,298.48,298.54,298.48,298.54,15320,2019-07-03
2019-07-03 13:52:00-04:00,298.59,298.59,298.59,298.59,14910,2019-07-03
2019-07-03 13:53:00-04:00,298.58,298.58,298.5,298.51,3842,2019-07-03
2019-07-03 13:54:00-04:00,298.51,298.54,298.49,298.54,5847,2019-07-03
2019-07-03 13:55:00-04:00,298.5,298.56,298.5,298.54,8815,2019-07-03
2019-07-03 13:56:00-04:00,298.54,298.54,298.54,298.54,9480,2019-07-03
2019-07-03 13:57:00-04:00,298.54,298.54,298.54,298.54,9760,2019-07-03
2019-07-03 13:58:00-04:00,298.54,298.54,298.5,298.51,7470,2019-07-03
2019-07-03 13:59:00-04:00,298.52,298.52,298.52,298.52,370,2019-07-03
2019-07-03 14:03:00-04:00,298.52,298.52,298.52,298.52,1360,2019-07-03
2019-07-03 14:05:00-04:00,298.52,298.52,298.52,298.52,790,2019-07-03
2019-07-03 14:06:00-04:00,298.54,298.57,298.54,298.55,4150,2019-07-03
2019-07-03 14:07:00-04:00,298.58,298.59,298.58,298.59,5090,2019-07-03
2019-07-03 14:08:00-04:00,298.58,298.58,298.58,298.58,1030,2019-07-03
2019-07-03 14:09:00-04:00,298.58,298.58,298.55,298.57,1420,2019-07-03
2019-07-03 14:10:00-04:00,298.57,298.57,298.57,298.57,130,2019-07-03
2019-07-03 14:12:00-04:00,298.59,298.59,298.57,298.57,486,2019-07-03
2019-07-03 14:13:00-04:00,298.57,298.57,298.57,298.57,360,2019-07-03
2019-07-03 14:14:00-04:00,298.57,298.6,298.57,298.57,7600,2019-07-03
2019-07-03 14:15:00-04:00,298.57,298.57,298.57,298.57,480,2019-07-03
2019-07-03 14:16:00-04:00,298.56,298.56,298.55,298.55,660,2019-07-03
2019-07-03 14:18:00-04:00,298.55,298.55,298.55,298.55,160,2019-07-03
2019-07-03 14:19:00-04:00,298.55,298.6,298.55,298.6,3510,2019-07-03
2019-07-03 14:20:00-04:00,298.61,298.63,298.6,298.6,4190,2019-07-03
2019-07-03 14:21:00-04:00,298.6,298.6,298.6,298.6,4200,2019-07-03
2019-07-03 14:22:00-04:00,298.6,298.61,298.6,298.61,5320,2019-07-03
2019-07-03 14:23:00-04:00,298.61,298.61,298.61,298.61,970,2019-07-03
2019-07-03 14:24:00-04:00,298.61,298.61,298.6,298.6,8650,2019-07-03
2019-07-03 14:25:00-04:00,298.6,298.6,298.6,298.6,900,2019-07-03
2019-07-03 14:26:00-04:00,298.6,298.6,298.6,298.6,4200,2019-07-03
2019-07-03 14:27:00-04:00,298.6,298.6,298.55,298.56,5440,2019-07-03
2019-07-03 14:28:00-04:00,298.57,298.6,298.57,298.6,1380,2019-07-03
2019-07-03 14:29:00-04:00,298.6,298.6,298.6,298.6,330,2019-07-03
2019-07-03 14:30:00-04:00,298.6,298.6,298.6,298.6,170,2019-07-03
2019-07-03 14:31:00-04:00,298.63,298.63,298.6,298.6,610,2019-07-03
2019-07-03 14:33:00-04:00,298.61,298.61,298.61,298.61,1620,2019-07-03
2019-07-03 14:35:00-04:00,298.65,298.67,298.65,298.65,430,2019-07-03
2019-07-03 14:36:00-04:00,298.65,298.65,298.65,298.65,400,2019-07-03
2019-07-03 14:37:00-04:00,298.65,298.65,298.65,298.65,160,2019-07-03
2019-07-03 14:38:00-04:00,298.65,298.65,298.59,298.61,1909,2019-07-03
2019-07-03 14:39:00-04:00,298.59,298.59,298.59,298.59,330,2019-07-03
2019-07-03 14:40:00-04:00,298.6,298.6,298.6,298.6,800,2019-07-03
2019-07-03 14:41:00-04:00,298.63,298.63,298.63,298.63,75,2019-07-03
2019-07-03 14:42:00-04:00,298.63,298.63,298.63,298.63,100,2019-07-03
2019-07-03 14:43:00-04:00,298.63,298.63,298.63,298.63,100,2019-07-03
2019-07-03 14:44:00-04:00,298.65,298.65,298.59,298.59,2210,2019-07-03
2019-07-03 14:45:00-04:00,298.59,298.6,298.59,298.59,980,2019-07-03
2019-07-03 14:46:00-04:00,298.59,298.59,298.59,298.59,130,2019-07-03
2019-07-03 14:47:00-04:00,298.59,298.59,298.59,298.59,460,2019-07-03
2019-07-03 14:49:00-04:00,298.59,298.59,298.59,298.59,460,2019-07-03
2019-07-03 14:51:00-04:00,298.58,298.58,298.58,298.58,530,2019-07-03
2019-07-03 14:57:00-04:00,298.58,298.58,298.58,298.58,100,2019-07-03
2019-07-03 14:58:00-04:00,298.58,298.58,298.58,298.58,200,2019-07-03
2019-07-03 15:00:00-04:00,298.58,298.58,298.58,298.58,175,2019-07-03
2019-07-03 15:01:00-04:00,298.6,298.61,298.6,298.61,260,2019-07-03
2019-07-03 15:02:00-04:00,298.61,298.61,298.61,298.61,170,2019-07-03
2019-07-03 15:03:00-04:00,298.61,298.61,298.61,298.61,260,2019-07-03
2019-07-03 15:04:00-04:00,298.61,298.61,298.61,298.61,590,2019-07-03
2019-07-03 15:05:00-04:00,298.61,298.61,298.61,298.61,170,2019-07-03
2019-07-03 15:06:00-04:00,298.61,298.61,298.61,298.61,130,2019-07-03
2019-07-03 15:07:00-04:00,298.61,298.61,298.61,298.61,170,2019-07-03
2019-07-03 15:09:00-04:00,298.61,298.61,298.61,298.61,590,2019-07-03
2019-07-03 15:10:00-04:00,298.62,298.62,298.62,298.62,170,2019-07-03
2019-07-03 15:13:00-04:00,298.62,298.62,298.62,298.62,590,2019-07-03
2019-07-03 15:15:00-04:00,298.62,298.71,298.62,298.62,2009,2019-07-03
2019-07-03 15:18:00-04:00,298.67,298.67,298.67,298.67,2000,2019-07-03
2019-07-03 15:19:00-04:00,298.62,298.62,298.62,298.62,130,2019-07-03
2019-07-03 15:20:00-04:00,298.62,298.62,298.62,298.62,130,2019-07-03
2019-07-03 15:21:00-04:00,298.62,298.62,298.62,298.62,170,2019-07-03
2019-07-03 15:24:00-04:00,298.67,298.67,298.67,298.67,270,2019-07-03
2019-07-03 15:25:00-04:00,298.67,298.67,298.67,298.67,360,2019-07-03
2019-07-03 15:28:00-04:00,298.67,298.67,298.67,298.67,1320,2019-07-03
2019-07-03 15:29:00-04:00,298.67,298.67,298.67,298.67,300,2019-07-03
2019-07-03 15:31:00-04:00,298.67,298.67,298.67,298.67,200,2019-07-03
2019-07-03 15:36:00-04:00,298.65,298.65,298.65,298.65,460,2019-07-03
2019-07-03 15:37:00-04:00,298.65,298.65,298.65,298.65,170,2019-07-03
2019-07-03 15:42:00-04:00,298.67,298.67,298.67,298.67,550,2019-07-03
2019-07-03 15:46:00-04:00,298.67,298.67,298.67,298.67,400,2019-07-03
2019-07-03 15:47:00-04:00,298.65,298.65,298.65,298.65,260,2019-07-03
2019-07-03 15:48:00-04:00,298.65,298.65,298.65,298.65,1120,2019-07-03
2019-07-03 15:49:00-04:00,298.66,298.68,298.66,298.68,2240,2019-07-03
2019-07-03 15:51:00-04:00,298.69,298.71,298.69,298.71,480,2019-07-03
2019-07-03 15:52:00-04:00,298.71,298.71,298.71,298.71,290,2019-07-03
2019-07-03 15:53:00-04:00,298.72,298.72,298.72,298.72,130,2019-07-03
2019-07-03 15:57:00-04:00,298.71,298.71,298.71,298.71,130,2019-07-03
2019-07-03 15:59:00-04:00,298.7,298.7,298.68,298.69,3579,2019-07-03
2019-11-29 13:00:00-05:00,314.34,314.5,314.25,314.49,410000,2019-11-29
2019-11-29 13:01:00-05:00,314.48,314.56,314.43,314.44,299000,2019-11-29
2019-11-29 13:02:00-05:00,314.45,314.46,314.37,314.42,230500,2019-11-29
2019-11-29 13:03:00-05:00,314.42,314.44,314.35,314.41,207500,2019-11-29
2019-11-29 13:04:00-05:00,314.41,314.51,314.4,314.45,219000,2019-11-29
2019-11-29 13:05:00-05:00,314.46,314.52,314.45,314.52,175250,2019-11-29
2019-11-29 13:06:00-05:00,314.52,314.55,314.52,314.55,117000,2019-11-29
2019-11-29 13:07:00-05:00,314.53,314.56,314.45,314.45,97000,2019-11-29
