window_months,start_date,end_date,trades,win_rate_pct,profit_factor,net_profit_pct,sharpe,max_drawdown_pct
12,2017-05-01,2018-04-30,54,51.85,1.46,0.833,0.835,-0.405
12,2017-06-01,2018-05-31,55,49.09,1.027,0.065,0.066,-0.724
12,2017-07-01,2018-06-30,52,51.92,1.107,0.234,0.231,-0.761
12,2017-08-01,2018-07-31,50,50.0,1.191,0.42,0.394,-0.761
12,2017-09-01,2018-08-31,51,50.98,1.115,0.352,0.326,-0.761
12,2017-10-01,2018-09-30,51,52.94,1.153,0.347,0.325,-0.761
12,2017-11-01,2018-10-31,46,52.17,1.169,0.361,0.342,-0.761
12,2017-12-01,2018-11-30,48,52.08,1.221,0.506,0.459,-0.761
12,2018-01-01,2018-12-31,44,52.27,1.259,0.562,0.512,-0.761
12,2018-02-01,2019-01-31,43,46.51,1.167,0.384,0.339,-0.761
12,2018-03-01,2019-02-28,48,50.0,1.162,0.401,0.345,-0.761
12,2018-04-01,2019-03-31,50,48.0,1.099,0.266,0.223,-0.761
12,2018-05-01,2019-04-30,52,51.92,1.158,0.175,0.173,-0.534
12,2018-06-01,2019-05-31,48,56.25,1.542,0.956,0.978,-0.534
12,2018-07-01,2019-06-30,51,56.86,1.573,1.084,1.063,-0.534
12,2018-08-01,2019-07-31,52,57.69,1.38,0.773,0.784,-0.534
12,2018-09-01,2019-08-31,45,57.78,1.435,0.766,0.815,-0.534
12,2018-10-01,2019-09-30,45,57.78,1.347,0.656,0.689,-0.534
12,2018-11-01,2019-10-31,48,58.33,1.419,0.813,0.828,-0.534
12,2018-12-01,2019-11-30,50,60.0,1.366,0.684,0.726,-0.534
12,2019-01-01,2019-12-31,54,59.26,1.361,0.707,0.745,-0.534
12,2019-02-01,2020-01-31,49,59.18,1.231,0.471,0.583,-0.44
12,2019-03-01,2020-02-29,50,60.0,1.411,0.653,0.802,-0.434
12,2019-04-01,2020-03-31,46,58.7,1.158,0.26,0.335,-0.543
12,2019-05-01,2020-04-30,43,58.14,1.121,0.219,0.244,-0.543
12,2019-06-01,2020-05-31,46,58.7,1.138,0.27,0.289,-0.543
12,2019-07-01,2020-06-30,45,57.78,1.032,0.064,0.072,-0.543
12,2019-08-01,2020-07-31,44,59.09,1.144,0.297,0.294,-0.543
12,2019-09-01,2020-08-31,55,56.36,0.997,-0.011,-0.004,-0.61
12,2019-10-01,2020-09-30,54,59.26,1.156,0.455,0.358,-0.61
12,2019-11-01,2020-10-31,55,58.18,1.126,0.419,0.294,-0.61
12,2019-12-01,2020-11-30,53,52.83,1.104,0.352,0.247,-0.61
12,2020-01-01,2020-12-31,54,53.7,1.084,0.291,0.204,-0.61
12,2020-02-01,2021-01-31,55,54.55,1.137,0.48,0.328,-0.61
12,2020-02-29,2021-02-28,53,52.83,1.122,0.42,0.291,-0.61
12,2020-04-01,2021-03-31,52,53.85,1.278,0.929,0.628,-0.61
12,2020-05-01,2021-04-30,52,55.77,1.408,1.201,0.843,-0.61
12,2020-06-01,2021-05-31,50,52.0,1.289,0.839,0.607,-0.61
12,2020-07-01,2021-06-30,53,50.94,1.296,0.872,0.634,-0.61
12,2020-08-01,2021-07-31,53,49.06,1.175,0.502,0.387,-0.518
12,2020-09-01,2021-08-31,44,52.27,1.502,1.134,1.021,-0.486
12,2020-10-01,2021-09-30,45,51.11,1.526,0.962,0.887,-0.486
12,2020-11-01,2021-10-31,45,51.11,1.573,0.878,1.01,-0.284
12,2020-12-01,2021-11-30,45,51.11,1.443,0.724,0.824,-0.284
12,2021-01-01,2021-12-31,41,48.78,1.346,0.575,0.648,-0.417
12,2021-02-01,2022-01-31,39,46.15,1.076,0.138,0.159,-0.623
12,2021-03-01,2022-02-28,38,47.37,1.24,0.441,0.434,-0.623
12,2021-04-01,2022-03-31,41,43.9,0.997,-0.007,-0.003,-0.623
12,2021-05-01,2022-04-30,37,40.54,0.809,-0.417,-0.419,-0.623
12,2021-06-01,2022-05-31,39,43.59,0.965,-0.088,-0.068,-1.07
12,2021-07-01,2022-06-30,33,45.45,1.055,0.123,0.106,-1.07
12,2021-08-01,2022-07-31,33,51.52,1.332,0.685,0.553,-1.07
12,2021-09-01,2022-08-31,33,45.45,1.067,0.162,0.132,-1.07
12,2021-10-01,2022-09-30,32,46.88,1.103,0.247,0.197,-1.07
12,2021-11-01,2022-10-31,29,48.28,1.112,0.271,0.211,-1.07
12,2021-12-01,2022-11-30,28,53.57,1.451,0.722,0.541,-0.976
12,2022-01-01,2022-12-31,30,53.33,1.336,0.753,0.56,-0.976
